Gene	Col1
C5_Sobic.001G001300	0.0138811
C5_Sobic.001G002100	0.0350698
C5_Sobic.001G003200	0.0244397
C5_Sobic.001G003900	0.0361828
C5_Sobic.001G005200	0.00859672
C5_Sobic.001G005500	0.0154742
C5_Sobic.001G005700	0.0203528
C5_Sobic.001G006500	0.0189613
C5_Sobic.001G007800	0.0516261
C5_Sobic.001G009200	0.016651
C5_Sobic.001G009400	0.00617298
C5_Sobic.001G009500	0.0153552
C5_Sobic.001G010100	0.0138383
C5_Sobic.001G010200	0.0355024
C5_Sobic.001G011400	0.0117067
C5_Sobic.001G012600	0.036114
C5_Sobic.001G013600	0.0452815
C5_Sobic.001G013800	0.0246444
C5_Sobic.001G013900	0.0153975
C5_Sobic.001G014000	0
C5_Sobic.001G015100	0.0169413
C5_Sobic.001G015200	0.0294515
C5_Sobic.001G015700	0.0280066
C5_Sobic.001G016800	0.0177933
C5_Sobic.001G018000	0.0122332
C5_Sobic.001G021900	0.0317811
C5_Sobic.001G022000	0.0216416
C5_Sobic.001G023200	0.0456239
C5_Sobic.001G025500	0.0147479
C5_Sobic.001G026000	0.028032
C5_Sobic.001G026700	0.023255
C5_Sobic.001G027700	0.00944385
C5_Sobic.001G028000	0.00825324
C5_Sobic.001G028800	0.010721
C5_Sobic.001G028900	0.0208187
C5_Sobic.001G029100	0.00898316
C5_Sobic.001G029300	0
C5_Sobic.001G029800	0.0146359
C5_Sobic.001G029900	0.00529966
C5_Sobic.001G030200	0.0123501
C5_Sobic.001G031300	0.0187545
C5_Sobic.001G031400	0.038102
C5_Sobic.001G031500	0.0241596
C5_Sobic.001G033900	0.0267319
C5_Sobic.001G034100	0.0144205
C5_Sobic.001G037900	0.0162425
C5_Sobic.001G038450	0.00233477
C5_Sobic.001G038500	0.0232419
C5_Sobic.001G040200	0.0138791
C5_Sobic.001G042700	0.00571589
C5_Sobic.001G044800	0.00177939
C5_Sobic.001G045600	0.00183568
C5_Sobic.001G046100	0.0336818
C5_Sobic.001G046700	0.012392
C5_Sobic.001G047700	0.0326338
C5_Sobic.001G048000	0.00535327
C5_Sobic.001G048400	0
C5_Sobic.001G049200	0.0433595
C5_Sobic.001G050800	0.0191863
C5_Sobic.001G050900	0.0156527
C5_Sobic.001G051800	0.00528891
C5_Sobic.001G052600	0.0312121
C5_Sobic.001G053000	0.0291652
C5_Sobic.001G053500	0.0125759
C5_Sobic.001G055700	0.00239354
C5_Sobic.001G056100	0.00990883
C5_Sobic.001G056500	0.0025207
C5_Sobic.001G057400	0.0377737
C5_Sobic.001G058500	0.0266454
C5_Sobic.001G061900	0.0115358
C5_Sobic.001G062400	0.039291
C5_Sobic.001G062700	0.0108258
C5_Sobic.001G065200	0.0285433
C5_Sobic.001G065300	0.0332194
C5_Sobic.001G065500	0.0165356
C5_Sobic.001G065600	0.00785666
C5_Sobic.001G066600	0
C5_Sobic.001G067200	0.0430573
C5_Sobic.001G067500	0.00312983
C5_Sobic.001G067700	0.0152161
C5_Sobic.001G067850	0.01472
C5_Sobic.001G070300	0.0267352
C5_Sobic.001G070900	0.0178681
C5_Sobic.001G071100	0.0130444
C5_Sobic.001G071700	0.0105634
C5_Sobic.001G071900	0.0178498
C5_Sobic.001G072200	0.012631
C5_Sobic.001G072300	0.0238881
C5_Sobic.001G073300	0.0186787
C5_Sobic.001G074200	0.01766
C5_Sobic.001G075400	0.0139636
C5_Sobic.001G075700	0.0587637
C5_Sobic.001G076200	0.00951163
C5_Sobic.001G076800	0.0152131
C5_Sobic.001G076900	0.00342103
C5_Sobic.001G077500	0.0211374
C5_Sobic.001G077800	0.00909226
C5_Sobic.001G078600	0.00260685
C5_Sobic.001G080100	0.00261923
C5_Sobic.001G080200	0.0103224
C5_Sobic.001G081400	0.0182952
C5_Sobic.001G082600	0.00292031
C5_Sobic.001G084300	0.0184273
C5_Sobic.001G086400	0.00424128
C5_Sobic.001G088000	0
C5_Sobic.001G090200	0.00247897
C5_Sobic.001G090600	0.0241955
C5_Sobic.001G091500	0.0349047
C5_Sobic.001G092300	0.0304345
C5_Sobic.001G092600	0.00711995
C5_Sobic.001G093600	0.0153363
C5_Sobic.001G094200	0.00783478
C5_Sobic.001G094400	0.0146188
C5_Sobic.001G094900	0.0509676
C5_Sobic.001G096200	0.0266599
C5_Sobic.001G096866	0.0130366
C5_Sobic.001G096900	0.0022733
C5_Sobic.001G098000	0.0364465
C5_Sobic.001G098301	0.0413584
C5_Sobic.001G098800	0.0111304
C5_Sobic.001G098900	0.00962439
C5_Sobic.001G100000	0.00391013
C5_Sobic.001G101900	0.0118942
C5_Sobic.001G102400	0.00428755
C5_Sobic.001G103400	0.020785
C5_Sobic.001G103800	0.0125143
C5_Sobic.001G104100	0.00247326
C5_Sobic.001G104700	0.0337854
C5_Sobic.001G104900	0
C5_Sobic.001G105800	0.00516755
C5_Sobic.001G106600	0.0179481
C5_Sobic.001G107550	0.0203175
C5_Sobic.001G112200	0.0130032
C5_Sobic.001G112500	0.0304387
C5_Sobic.001G112800	0.0132475
C5_Sobic.001G113900	0.00948719
C5_Sobic.001G114650	0
C5_Sobic.001G114700	0
C5_Sobic.001G115800	0.0123819
C5_Sobic.001G116400	0.00431921
C5_Sobic.001G116900	0.0167158
C5_Sobic.001G118100	0.00504812
C5_Sobic.001G118400	0.0151081
C5_Sobic.001G118700	0.00883144
C5_Sobic.001G119000	0.00246405
C5_Sobic.001G119100	0.0071321
C5_Sobic.001G120000	0.0259643
C5_Sobic.001G121700	0.0578459
C5_Sobic.001G122100	0.0267792
C5_Sobic.001G124500	0.0438617
C5_Sobic.001G124600	0.0122661
C5_Sobic.001G125100	0.0341685
C5_Sobic.001G125300	0.0105847
C5_Sobic.001G125400	0.0270483
C5_Sobic.001G125600	0.00464367
C5_Sobic.001G125800	0.00553231
C5_Sobic.001G126300	0.0448206
C5_Sobic.001G126500	0.0164334
C5_Sobic.001G126800	0.0224289
C5_Sobic.001G128000	0.015009
C5_Sobic.001G128600	0.010867
C5_Sobic.001G130700	0.024904
C5_Sobic.001G130900	0.0307401
C5_Sobic.001G131001	0.0317752
C5_Sobic.001G131300	0.022217
C5_Sobic.001G131400	0.0195073
C5_Sobic.001G131500	0.0204053
C5_Sobic.001G132800	0.00816212
C5_Sobic.001G133900	0.024772
C5_Sobic.001G134600	0.0210185
C5_Sobic.001G134700	0.0209434
C5_Sobic.001G135600	0.0148605
C5_Sobic.001G136850	0.00686558
C5_Sobic.001G137600	0.0300521
C5_Sobic.001G137800	0
C5_Sobic.001G138000	0.00442266
C5_Sobic.001G138100	0.0194681
C5_Sobic.001G138800	0.0253335
C5_Sobic.001G138900	0.031886
C5_Sobic.001G139100	0.0222956
C5_Sobic.001G140000	0.0320294
C5_Sobic.001G143000	0.026529
C5_Sobic.001G143400	0
C5_Sobic.001G145050	0.0240496
C5_Sobic.001G147000	0.0208975
C5_Sobic.001G148200	0.0101188
C5_Sobic.001G149901	0.0392714
C5_Sobic.001G151000	0.00778835
C5_Sobic.001G151200	0.00295821
C5_Sobic.001G151500	0.0570603
C5_Sobic.001G151700	0.0258039
C5_Sobic.001G152360	0.019368
C5_Sobic.001G153500	0.0111025
C5_Sobic.001G155500	0.0498844
C5_Sobic.001G156500	0.00216336
C5_Sobic.001G157500	0.036019
C5_Sobic.001G157800	0.0102584
C5_Sobic.001G157900	0.0162709
C5_Sobic.001G158000	0.0521386
C5_Sobic.001G158700	0.00208357
C5_Sobic.001G161200	0.0195668
C5_Sobic.001G161500	0.0124126
C5_Sobic.001G163500	0.0027244
C5_Sobic.001G163900	0.0126678
C5_Sobic.001G164500	0.00743873
C5_Sobic.001G164800	0
C5_Sobic.001G165100	0
C5_Sobic.001G166300	0
C5_Sobic.001G166401	0.00280139
C5_Sobic.001G166700	0.0277221
C5_Sobic.001G167000	0.0372153
C5_Sobic.001G167100	0.0352072
C5_Sobic.001G167701	0.0146956
C5_Sobic.001G167800	0.0493042
C5_Sobic.001G170700	0.00847238
C5_Sobic.001G170800	0.0141665
C5_Sobic.001G170900	0.0264533
C5_Sobic.001G171100	0.0215966
C5_Sobic.001G171200	0.028551
C5_Sobic.001G171500	0.0428336
C5_Sobic.001G171600	0.0170457
C5_Sobic.001G171850	0.0455397
C5_Sobic.001G171900	0
C5_Sobic.001G172400	0.0233425
C5_Sobic.001G173600	0.00765877
C5_Sobic.001G174100	0.0326023
C5_Sobic.001G174700	0
C5_Sobic.001G175500	0.0328874
C5_Sobic.001G175600	0.0402022
C5_Sobic.001G175700	0.0405017
C5_Sobic.001G175800	0.0238103
C5_Sobic.001G176800	0.021803
C5_Sobic.001G176900	0.0435971
C5_Sobic.001G177900	0.0229977
C5_Sobic.001G178250	0.0239829
C5_Sobic.001G179100	0.00471404
C5_Sobic.001G179560	0.0126395
C5_Sobic.001G180500	0
C5_Sobic.001G180800	0.0351186
C5_Sobic.001G180900	0.027577
C5_Sobic.001G181100	0.0469901
C5_Sobic.001G181200	0.0255036
C5_Sobic.001G181300	0.0113838
C5_Sobic.001G182800	0.034742
C5_Sobic.001G182850	0.0116508
C5_Sobic.001G183000	0.0223797
C5_Sobic.001G183500	0.00257461
C5_Sobic.001G183600	0.00599725
C5_Sobic.001G184800	0
C5_Sobic.001G185800	0
C5_Sobic.001G186200	0.0503322
C5_Sobic.001G186401	0.0178473
C5_Sobic.001G186600	0.0248954
C5_Sobic.001G187700	0.00764306
C5_Sobic.001G192200	0.0474352
C5_Sobic.001G192600	0.0405155
C5_Sobic.001G193600	0.0201284
C5_Sobic.001G193900	0
C5_Sobic.001G196600	0.00714794
C5_Sobic.001G197600	0.0037548
C5_Sobic.001G197800	0.00267389
C5_Sobic.001G198000	0.0379792
C5_Sobic.001G200500	0.0284382
C5_Sobic.001G201100	0.0485546
C5_Sobic.001G202000	0.042131
C5_Sobic.001G203000	0.0379364
C5_Sobic.001G203700	0.0135579
C5_Sobic.001G203800	0.00840089
C5_Sobic.001G204200	0.0329001
C5_Sobic.001G204601	0.00294081
C5_Sobic.001G205000	0.0327085
C5_Sobic.001G205500	0.0194098
C5_Sobic.001G206200	0.0295825
C5_Sobic.001G206300	0.00291693
C5_Sobic.001G207600	0.00567746
C5_Sobic.001G208133	0.00516949
C5_Sobic.001G208200	0.0108865
C5_Sobic.001G208300	0.0350312
C5_Sobic.001G208600	0.00218685
C5_Sobic.001G211800	0.00229879
C5_Sobic.001G212100	0.00357373
C5_Sobic.001G212200	0.0227546
C5_Sobic.001G215300	0.0220827
C5_Sobic.001G215400	0.0272501
C5_Sobic.001G217500	0.0100327
