Gene	Col1
Sobic.001G001300	0.00775679
Sobic.001G002100	0.0376078
Sobic.001G003900	0.0446041
Sobic.001G005200	0.0151138
Sobic.001G005500	0.0170868
Sobic.001G005700	0.0140325
Sobic.001G006300	0
Sobic.001G006500	0.025914
Sobic.001G007700	0.0106244
Sobic.001G007800	0.0196845
Sobic.001G008900	0.0350792
Sobic.001G009400	0.00454985
Sobic.001G009500	0.0137274
Sobic.001G010100	0.0309911
Sobic.001G010200	0.00821949
Sobic.001G011400	0.0224015
Sobic.001G011700	0.0281713
Sobic.001G013600	0.0181544
Sobic.001G013800	0.0127979
Sobic.001G013900	0.0263873
Sobic.001G014000	0.00373076
Sobic.001G015100	0.0151174
Sobic.001G015200	0.0362476
Sobic.001G016800	0.00688859
Sobic.001G018000	0.00592205
Sobic.001G021900	0.0252874
Sobic.001G023200	0.0334289
Sobic.001G025500	0
Sobic.001G026700	0.004154
Sobic.001G027700	0.0313029
Sobic.001G028200	0.0370622
Sobic.001G028800	0.025579
Sobic.001G028900	0.0397374
Sobic.001G029100	0.0248013
Sobic.001G029300	0.00390582
Sobic.001G029900	0.0419918
Sobic.001G031300	0.0274908
Sobic.001G033900	0.0210202
Sobic.001G034100	0
Sobic.001G037900	0.0231603
Sobic.001G038450	0.0223363
Sobic.001G038500	0.0140624
Sobic.001G040200	0
Sobic.001G042700	0.0140839
Sobic.001G044800	0.00408925
Sobic.001G045000	0.0276955
Sobic.001G045600	0.00711464
Sobic.001G046100	0.030748
Sobic.001G046700	0.00798555
Sobic.001G047700	0.0126312
Sobic.001G048000	0.00561869
Sobic.001G048400	0.00571788
Sobic.001G050900	0.0034717
Sobic.001G051800	0.00842171
Sobic.001G052200	0.0400044
Sobic.001G052600	0.0310014
Sobic.001G053000	0.0182174
Sobic.001G053500	0.0189201
Sobic.001G056100	0.0212944
Sobic.001G056500	0
Sobic.001G057400	0.0182364
Sobic.001G058500	0.0398066
Sobic.001G062400	0.00288001
Sobic.001G062700	0.0131967
Sobic.001G065200	0.0109
Sobic.001G065500	0.00244335
Sobic.001G065600	0.0172541
Sobic.001G066600	0.0124851
Sobic.001G067200	0.00988282
Sobic.001G067500	0.0145299
Sobic.001G067700	0.0133257
Sobic.001G067850	0.0293487
Sobic.001G071100	0.00926584
Sobic.001G071700	0.0110429
Sobic.001G071900	0.00465558
Sobic.001G072300	0.0301241
Sobic.001G074200	0.00414172
Sobic.001G076200	0.00463232
Sobic.001G076800	0.0131119
Sobic.001G076900	0.00380661
Sobic.001G077500	0.0355127
Sobic.001G077800	0.0229139
Sobic.001G080100	0
Sobic.001G081400	0.0356483
Sobic.001G082600	0.0141916
Sobic.001G084300	0.0142899
Sobic.001G086400	0.00244335
Sobic.001G087700	0.0177374
Sobic.001G090200	0
Sobic.001G090600	0.00562117
Sobic.001G092600	0.00509931
Sobic.001G093600	0.00466497
Sobic.001G094200	0.0111331
Sobic.001G094400	0.00717598
Sobic.001G094900	0.0320509
Sobic.001G096200	0.0250148
Sobic.001G096866	0
Sobic.001G096900	0.00879421
Sobic.001G098000	0.0355496
Sobic.001G098301	0.0445374
Sobic.001G098800	0.00399619
Sobic.001G100000	0.00931839
Sobic.001G101900	0.00903284
Sobic.001G102400	0.00515048
Sobic.001G103800	0.0130613
Sobic.001G104100	0.0334387
Sobic.001G104900	0
Sobic.001G105800	0.00505238
Sobic.001G106600	0.0345274
Sobic.001G107550	0.00527976
Sobic.001G112200	0.0118323
Sobic.001G112500	0.00708477
Sobic.001G114650	0
Sobic.001G114700	0
Sobic.001G115800	0.017374
Sobic.001G116400	0.0076848
Sobic.001G118400	0.0114532
Sobic.001G118700	0.0131106
Sobic.001G119000	0.0152852
Sobic.001G119100	0.0060576
Sobic.001G120000	0.0156423
Sobic.001G121700	0.0127884
Sobic.001G124500	0.0127943
Sobic.001G124600	0.00405405
Sobic.001G125100	0.00265287
Sobic.001G125300	0.0388888
Sobic.001G125400	0.00529121
Sobic.001G125600	0.0139709
Sobic.001G125800	0.0202681
Sobic.001G126300	0.0316629
Sobic.001G126500	0.0114409
Sobic.001G130700	0.0293217
Sobic.001G132800	0
Sobic.001G133900	0.00852723
Sobic.001G134600	0.0247018
Sobic.001G134700	0.00603619
Sobic.001G136850	0.0115492
Sobic.001G137600	0.0205474
Sobic.001G137800	0.00456984
Sobic.001G138000	0
Sobic.001G138100	0.0218068
Sobic.001G138800	0.0242304
Sobic.001G138900	0.0338266
Sobic.001G139001	0.0379965
Sobic.001G139100	0.00405405
Sobic.001G140000	0.0060793
Sobic.001G140800	0.0303819
Sobic.001G143000	0
Sobic.001G143400	0
Sobic.001G145050	0.0343436
Sobic.001G147000	0.0165861
Sobic.001G149901	0.0199815
Sobic.001G151000	0.0165627
Sobic.001G151500	0.0322056
Sobic.001G151700	0.0374154
Sobic.001G152360	0.015912
Sobic.001G155200	0.0223805
Sobic.001G155500	0.0333732
Sobic.001G156500	0.00317545
Sobic.001G157500	0.0215813
Sobic.001G157800	0.0269778
Sobic.001G157900	0.0150977
Sobic.001G158700	0.00459005
Sobic.001G161000	0.0281986
Sobic.001G161200	0.00452137
Sobic.001G161500	0.00459457
Sobic.001G163500	0
Sobic.001G163900	0.0273881
Sobic.001G164500	0.0295274
Sobic.001G164800	0.0040766
Sobic.001G165100	0.00414172
Sobic.001G166300	0.00797806
Sobic.001G166401	0
Sobic.001G166700	0.0348499
Sobic.001G167100	0.0186487
Sobic.001G167701	0.0377905
Sobic.001G167800	0.0435709
Sobic.001G170700	0.00697184
Sobic.001G171500	0.0407601
Sobic.001G171600	0.0126441
Sobic.001G171850	0.0222852
Sobic.001G171900	0.00313623
Sobic.001G172400	0.0227307
Sobic.001G173600	0.014135
Sobic.001G174100	0
Sobic.001G174700	0.0278229
Sobic.001G175500	0.0247788
Sobic.001G175600	0.0393624
Sobic.001G176800	0.0124011
Sobic.001G178700	0.0343325
Sobic.001G179100	0.0142389
Sobic.001G179560	0.0219715
Sobic.001G180500	0.00353801
Sobic.001G180800	0.0236257
Sobic.001G180900	0.0195557
Sobic.001G181200	0.0112487
Sobic.001G181300	0.0176717
Sobic.001G182800	0.010156
Sobic.001G183000	0.0308961
Sobic.001G183500	0.0110415
Sobic.001G183600	0.014387
Sobic.001G184800	0.0130279
Sobic.001G185800	0.00947939
Sobic.001G186200	0.0111052
Sobic.001G186401	0.0200024
Sobic.001G186600	0.0162357
Sobic.001G192200	0.0364725
Sobic.001G195866	0.0261508
Sobic.001G197600	0.0179145
Sobic.001G197800	0.0278439
Sobic.001G198000	0.00339289
Sobic.001G200500	0.00419948
Sobic.001G202000	0.0189718
Sobic.001G203700	0
Sobic.001G203800	0.00272121
Sobic.001G204601	0
Sobic.001G206300	0
Sobic.001G207600	0
