Gene	C12
C12_Sobic.001G001300	0
C12_Sobic.001G002100	0
C12_Sobic.001G003200	1
C12_Sobic.001G003900	0
C12_Sobic.001G005200	0
C12_Sobic.001G005500	0
C12_Sobic.001G005700	0
C12_Sobic.001G006300	0
C12_Sobic.001G006500	0
C12_Sobic.001G006600	1
C12_Sobic.001G007700	0
C12_Sobic.001G007800	1
C12_Sobic.001G008400	0
C12_Sobic.001G008900	0
C12_Sobic.001G009200	1
C12_Sobic.001G009400	0
C12_Sobic.001G009500	0
C12_Sobic.001G010100	1
C12_Sobic.001G010200	0
C12_Sobic.001G011400	0
C12_Sobic.001G011700	0
C12_Sobic.001G012600	2
C12_Sobic.001G013600	0
C12_Sobic.001G013800	0
C12_Sobic.001G013900	0
C12_Sobic.001G014000	0
C12_Sobic.001G015100	0
C12_Sobic.001G015200	0
C12_Sobic.001G015700	4
C12_Sobic.001G016800	0
C12_Sobic.001G018000	0
C12_Sobic.001G021900	1
C12_Sobic.001G023200	1
C12_Sobic.001G025500	0
C12_Sobic.001G026000	1
C12_Sobic.001G026700	0
C12_Sobic.001G027700	1
C12_Sobic.001G028000	1
C12_Sobic.001G028200	0
C12_Sobic.001G028800	1
C12_Sobic.001G028900	0
C12_Sobic.001G029100	0
C12_Sobic.001G029300	0
C12_Sobic.001G029800	0
C12_Sobic.001G029900	0
C12_Sobic.001G030200	0
C12_Sobic.001G031300	0
C12_Sobic.001G031400	0
C12_Sobic.001G031500	0
C12_Sobic.001G033900	0
C12_Sobic.001G034100	0
C12_Sobic.001G037900	1
C12_Sobic.001G038450	3
C12_Sobic.001G038500	2
C12_Sobic.001G040200	0
C12_Sobic.001G041500	1
C12_Sobic.001G042700	0
C12_Sobic.001G044800	0
C12_Sobic.001G045000	1
C12_Sobic.001G045600	0
C12_Sobic.001G046100	0
C12_Sobic.001G046700	0
C12_Sobic.001G047700	0
C12_Sobic.001G048000	0
C12_Sobic.001G048400	0
C12_Sobic.001G049200	0
C12_Sobic.001G050800	0
C12_Sobic.001G050900	0
C12_Sobic.001G051800	0
C12_Sobic.001G052200	0
C12_Sobic.001G052600	1
C12_Sobic.001G053000	0
C12_Sobic.001G053500	1
C12_Sobic.001G055700	0
C12_Sobic.001G056100	1
